from_channel,Start,AFFILIATE|DESKTOP,AFFILIATE|MOBILE,DIRECT|DESKTOP,DIRECT|MOBILE,DISPLAY|DESKTOP,DISPLAY|MOBILE,EMAIL|DESKTOP,EMAIL|MOBILE,NATURAL SEARCH|DESKTOP,NATURAL SEARCH|MOBILE,OTHER,PAID SEARCH|DESKTOP,PAID SEARCH|MOBILE,REFERRAL ENGINE|DESKTOP,REFERRAL ENGINE|MOBILE,SOCIAL MEDIA|DESKTOP,SOCIAL MEDIA|MOBILE,LOSS,CONVERSION
NATURAL SEARCH|MOBILE,0.0,0.0029090641282934105,0.013459024542927108,0.03448529817907315,0.15534034209121206,0.000902178115736564,0.005118479921933975,0.006646659179202033,0.10741443116749212,0.041702723104965665,0.0,0.0779739657172316,0.005836540054867159,0.08787951319205346,0.0019148270211551562,0.048054793511682285,0.00023935337764439453,0.0016754736435107616,0.25581352530701673,0.15263380774400237
OTHER,0.0,0.013317139387011503,0.0021790383653640067,0.15932699864256628,0.043737943845109664,0.0027363006358505394,0.0013360005715510467,0.04083017789526327,0.0145531185253983,0.09922126169893548,0.021240265771236694,0.06797885261127384,0.030220761591769663,0.006715724798171036,0.025076802171893977,0.0035721940415803385,0.002307637350860899,0.00041437450882331927,0.3070015003214975,0.1582339072658427
PAID SEARCH|DESKTOP,0.0,0.022896879240162822,0.0005451637914324481,0.1468550106609808,0.016342798992052723,0.002216999418491956,0.0006299670478774956,0.05357142857142857,0.00396152355107579,0.110971118433805,0.006953867028493894,0.0673822446210506,0.0,0.0031013762357045937,0.01992876526458616,0.00047247528590812175,0.0030044582283388255,0.00013326226012793177,0.30927747625508817,0.23175518511339407
PAID SEARCH|MOBILE,0.0,0.003073831057516108,0.012768221315836142,0.032866347461133774,0.1760950523142401,0.001241354850150736,0.004433410179109771,0.00768457764379027,0.06360465803629485,0.04149671927646746,0.13489389371637997,0.06330909735768753,0.011172193651356624,0.0,0.0017733640716439084,0.013950464030265413,0.0003546728143287817,0.0017733640716439084,0.2874032038777561,0.14210557427439854
REFERRAL ENGINE|DESKTOP,0.0,0.0203728362183755,0.0004327563249001332,0.14227696404793608,0.013914780292942743,0.002696404793608522,0.0008655126498002664,0.051864181091877494,0.0030625832223701733,0.11857523302263648,0.008022636484687084,0.112982689747004,0.05815579227696405,0.0015645805592543276,0.0,0.0011984021304926764,0.006957390146471371,6.657789613848202e-05,0.21814247669773634,0.23884820239680427
REFERRAL ENGINE|MOBILE,0.0,0.0034407823252444766,0.012133285041651575,0.03332126041289388,0.11752988047808766,0.0005432814197754436,0.006157189424121695,0.004527345164795364,0.057950018109380656,0.037486417964505615,0.09942049981890619,0.10829409634190511,0.004889532777978993,0.04798985874683086,0.006700470843897139,0.0,0.0005432814197754436,0.003621876131836291,0.22111553784860558,0.23433538572980803
SOCIAL MEDIA|DESKTOP,0.0,0.011846001974333662,0.0003290556103981573,0.0608752879236591,0.005593945376768674,0.10200723922342876,0.0003290556103981573,0.04014478446857519,0.0013162224415926291,0.059230009871668314,0.002303389272787101,0.07798617966436328,0.019743336623889437,0.0006581112207963146,0.41395195788088185,0.0,0.0,0.0003290556103981573,0.14445541296479106,0.05890095426127016
SOCIAL MEDIA|MOBILE,0.0,0.0015625,0.009375,0.03125,0.0671875,0.0,0.0640625,0.0078125,0.0390625,0.03125,0.03125,0.1015625,0.003125,0.0234375,0.00625,0.3,0.0015625,0.0,0.215625,0.065625
LOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CONVERSION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
